id,type,file_path,line_number,string_name,original_text,translation,context,notes
5051,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,204,,将选择器前分隔字串分隔的字段依次压入数组,Đẩy tuần tự các trường được phân tách bởi chuỗi phân cách trước bộ chọn vào mảng,,) { //先匹配到st1pos，表明分隔字串不在选择器中，将选择器前分隔字串分隔的字段依次压入数组,Chinese parts: 将选择器前分隔字串分隔的字段依次压入数组
5052,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,206,,压入分隔的首段规则到数组,Đẩy quy tắc phân đoạn đầu tiên vào mảng,,"eue.substring(startX, end)) //压入分隔的首段规则到数组",Chinese parts: 压入分隔的首段规则到数组
5053,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,208,,设置组合类型,Đặt loại kết hợp,,".substring(end, end + step) //设置组合类型",Chinese parts: 设置组合类型
5054,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,209,,跳过分隔符,Bỏ qua dấu phân cách,,pos = end + step //跳过分隔符,Chinese parts: 跳过分隔符
5055,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,211,,循环切分规则压入数组,Lặp và đẩy các quy tắc phân tách vào mảng,,lementsType) && pos < st) { //循环切分规则压入数组,Chinese parts: 循环切分规则压入数组
5056,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,213,,跳过分隔符,Bỏ qua dấu phân cách,,pos += step //跳过分隔符,Chinese parts: 跳过分隔符
5057,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,218,,首段已匹配,Đoạn đầu đã khớp,,"splitRule() //首段已匹配,但当前段匹配未完成,调用二段匹配",Chinese parts: 首段已匹配
5058,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,218,,但当前段匹配未完成,Nhưng đoạn hiện tại chưa khớp xong,,"splitRule() //首段已匹配,但当前段匹配未完成,调用二段匹配",Chinese parts: 但当前段匹配未完成
5059,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,218,,调用二段匹配,Gọi khớp đoạn thứ hai,,"splitRule() //首段已匹配,但当前段匹配未完成,调用二段匹配",Chinese parts: 调用二段匹配
5060,source_code,app\src\main\java\io\legado\app\model\analyzeRule\RuleAnalyzer.kt,219,,执行到此,Thực thi đến đây,,} else { //执行到此，证明后面再无分隔字符,Chinese parts: 执行到此
