id,type,file_path,line_number,string_name,original_text,translation,context,notes
1801,xml_string,app\src\main\res\values-zh-rHK\strings.xml,631,service_start,正在啟動服務\n具體信息查看通知欄,Đang khởi động dịch vụ\nXem chi tiết trong thanh thông báo,,String resource: service_start,"Chinese parts: 正在啟動服務, 具體信息查看通知欄"
1802,xml_string,app\src\main\res\values-zh-rHK\strings.xml,632,default_path,默認路徑,Đường dẫn mặc định,,String resource: default_path,Chinese parts: 默認路徑
1803,xml_string,app\src\main\res\values-zh-rHK\strings.xml,633,sys_folder_picker,系統文件夾選擇器,Trình chọn thư mục hệ thống,,String resource: sys_folder_picker,Chinese parts: 系統文件夾選擇器
1804,xml_string,app\src\main\res\values-zh-rHK\strings.xml,634,app_folder_picker,自帶文件夾選擇器,Trình chọn thư mục của ứng dụng,,String resource: app_folder_picker,Chinese parts: 自帶文件夾選擇器
1805,xml_string,app\src\main\res\values-zh-rHK\strings.xml,635,app_file_picker,自帶文件選擇器,Trình chọn tệp của ứng dụng,,String resource: app_file_picker,Chinese parts: 自帶文件選擇器
1806,xml_string,app\src\main\res\values-zh-rHK\strings.xml,636,a10_permission_toast,Android10 以上因權限限制可能無法讀寫文件,Từ Android 10 trở lên có thể không đọc/ghi được tệp do hạn chế quyền,,String resource: a10_permission_toast,Chinese parts: 以上因權限限制可能無法讀寫文件
1807,xml_string,app\src\main\res\values-zh-rHK\strings.xml,637,add_to_text_context_menu_s,長按文字在操作菜單中顯示閲讀·搜索,Nhấn giữ văn bản để hiển thị Đọc sách · Tìm kiếm trong menu thao tác,,String resource: add_to_text_context_menu_s,"Chinese parts: 長按文字在操作菜單中顯示閲讀, 搜索"
1808,xml_string,app\src\main\res\values-zh-rHK\strings.xml,638,add_to_text_context_menu_t,文字操作顯示搜索,Thao tác văn bản hiển thị Tìm kiếm,,String resource: add_to_text_context_menu_t,Chinese parts: 文字操作顯示搜索
1809,xml_string,app\src\main\res\values-zh-rHK\strings.xml,639,record_log,記錄日誌,Ghi nhật ký,,String resource: record_log,Chinese parts: 記錄日誌
1810,xml_string,app\src\main\res\values-zh-rHK\strings.xml,640,log,日誌,Nhật ký,,String resource: log,Chinese parts: 日誌
1811,xml_string,app\src\main\res\values-zh-rHK\strings.xml,641,chinese_converter,中文簡繁體轉換,Chuyển đổi tiếng Trung giản thể/phồn thể,,String resource: chinese_converter,Chinese parts: 中文簡繁體轉換
1812,xml_string,app\src\main\res\values-zh-rHK\strings.xml,642,change_icon_error,圖標為矢量圖標，Android8.0 以前不支持,Biểu tượng là vector, không hỗ trợ trên Android 8.0 trở về trước,,String resource: change_icon_error,"Chinese parts: 圖標為矢量圖標, 以前不支持"
1813,xml_string,app\src\main\res\values-zh-rHK\strings.xml,643,aloud_config,朗讀設置,Cài đặt Đọc to,,String resource: aloud_config,Chinese parts: 朗讀設置
1814,xml_string,app\src\main\res\values-zh-rHK\strings.xml,644,main_activity,主界面,Giao diện chính,,String resource: main_activity,Chinese parts: 主界面
1815,xml_string,app\src\main\res\values-zh-rHK\strings.xml,645,selectText,長按選擇文本,Nhấn giữ để chọn văn bản,,String resource: selectText,Chinese parts: 長按選擇文本
1816,xml_string,app\src\main\res\values-zh-rHK\strings.xml,646,header,頁眉,Đầu trang,,String resource: header,Chinese parts: 頁眉
1817,xml_string,app\src\main\res\values-zh-rHK\strings.xml,647,main_body,正文,Nội dung chính,,String resource: main_body,Chinese parts: 正文
1818,xml_string,app\src\main\res\values-zh-rHK\strings.xml,648,footer,頁腳,Chân trang,,String resource: footer,Chinese parts: 頁腳
1819,xml_string,app\src\main\res\values-zh-rHK\strings.xml,649,select_end,文本選擇結束位置,Vị trí kết thúc chọn văn bản,,String resource: select_end,Chinese parts: 文本選擇結束位置
1820,xml_string,app\src\main\res\values-zh-rHK\strings.xml,650,select_start,文本選擇開始位置,Vị trí bắt đầu chọn văn bản,,String resource: select_start,Chinese parts: 文本選擇開始位置
1821,xml_string,app\src\main\res\values-zh-rHK\strings.xml,651,share_layout,共用佈局,Chia sẻ bố cục,,String resource: share_layout,Chinese parts: 共用佈局
1822,xml_string,app\src\main\res\values-zh-rHK\strings.xml,652,browser,瀏覽器,Trình duyệt,,String resource: browser,Chinese parts: 瀏覽器
1823,xml_string,app\src\main\res\values-zh-rHK\strings.xml,653,import_default_rule,導入默認規則,Nhập quy tắc mặc định,,String resource: import_default_rule,Chinese parts: 導入默認規則
