id,type,file_path,line_number,string_name,original_text,translation,context,notes
801,xml_string,app\src\main\res\values-zh\strings.xml,829,sync_book_progress_plus_s,重新进入页面（息屏、后台返回等）或者网络变为可用时同步云端进度,Đồng bộ tiến độ đám mây khi vào lại trang (tắt màn hình, quay lại từ nền, v.v.) hoặc khi mạng khả dụng.,String resource: sync_book_progress_plus_s,"Chinese parts: 重新进入页面, 息屏, 后台返回等, 或者网络变为可用时同步云端进度"
802,xml_string,app\src\main\res\values-zh\strings.xml,830,create_bookmark_error,创建书签失败,Tạo dấu trang thất bại,,String resource: create_bookmark_error,Chinese parts: 创建书签失败
803,xml_string,app\src\main\res\values-zh\strings.xml,831,single_url,单 URL,URL đơn,,String resource: single_url,Chinese parts: 单
804,xml_string,app\src\main\res\values-zh\strings.xml,832,export_bookshelf,导出书单,Xuất danh sách sách,,String resource: export_bookshelf,Chinese parts: 导出书单
805,xml_string,app\src\main\res\values-zh\strings.xml,833,import_bookshelf,导入书单,Nhập danh sách sách,,String resource: import_bookshelf,Chinese parts: 导入书单
806,xml_string,app\src\main\res\values-zh\strings.xml,834,pre_download,预下载,Tải trước,,String resource: pre_download,Chinese parts: 预下载
807,xml_string,app\src\main\res\values-zh\strings.xml,835,pre_download_m,预下载%s页,Tải trước %s trang,,String resource: pre_download_m,"Chinese parts: 预下载, 页"
808,xml_string,app\src\main\res\values-zh\strings.xml,836,pre_download_s,预先下载 %s 章正文,Tải trước %s chương nội dung chính,,String resource: pre_download_s,"Chinese parts: 预先下载, 章正文"
809,xml_string,app\src\main\res\values-zh\strings.xml,837,is_enabled,是否启用,Kích hoạt,,String resource: is_enabled,Chinese parts: 是否启用
810,xml_string,app\src\main\res\values-zh\strings.xml,838,background_image,背景图片,Ảnh nền,,String resource: background_image,Chinese parts: 背景图片
811,xml_string,app\src\main\res\values-zh\strings.xml,839,background_image_blurring,背景图片虚化,Làm mờ ảnh nền,,String resource: background_image_blurring,Chinese parts: 背景图片虚化
812,xml_string,app\src\main\res\values-zh\strings.xml,840,background_image_blurring_radius,虚化半径,Bán kính làm mờ,,String resource: background_image_blurring_radius,Chinese parts: 虚化半径
813,xml_string,app\src\main\res\values-zh\strings.xml,841,background_image_hint,0 为停用，启用范围 1~25\n半径数值越大，虚化效果越高,0 để tắt, phạm vi bật 1~25\nGiá trị bán kính càng lớn, hiệu ứng làm mờ càng cao,,String resource: background_image_hint,"Chinese parts: 为停用, 启用范围, 半径数值越大, 虚化效果越高"
